Vendor_Formal_Name,Contact_Name,certification,Cert_Renewal_Date,Ethnicity,Address1,Address2,City,Borough,State,ZIP,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,Website,Date_Of_Establishment,Aggregate_Bonding_Limit,Signatory_To_Union_Contracts,Business_Description,Goods_Materials_Suplier,Types_of_Construction_Projects,Job_Exp1_Name_of_Client,Job_Exp1_Value_of_Contract,Job_Exp1_Percent_Self_Performed,DATEOFJOB1,EXPERIENCE1,Job_Exp2_Name_of_Client,Job_Exp2_Value_of_Contract,Job_Exp2_Percent_Self_Performed,DATEOFJOB2,EXPERIENCE2,Job_Exp3_Name_of_Client,Job_Exp3_Value_of_Contract,Job_Exp3_Percent_Self_Performed,DATEOFJOB3,EXPERIENCE3,Job_Exp4_Name_of_Client,Job_Exp4_Value_of_Contract,,DATEOFJOB4,EXPERIENCE4
"X-Treme Care, LLC",Andrew Kim,MBE,11/30/2018,ASIAN,35-19 150th Street,,Flushing,Queens,NY,11354,35-19 150th Street,,Flushing,New York,11354,http://www.xtcare.com,4/22/1999,,,"X-Treme Care, LLC is a licensed home health care agency servicing the 5 boroughs of New York City, Nassau County, Westchester and Suffolk county for the seniors who have medicaid, medicare or other health insurance.",,,VNHC,9863000,,,N/A,CCM,4416000,,,N/A,Flushing Manor,1606000,,,N/A,,0,,,
"People's Accident Information Service, Inc.",Lisa Dolan,WBE,,NON-MINORITY,2518 Francis Lewis Boulevard,,Flushing,Queens,NY,11358,2518 Francis Lewis Boulevard,,Flushing,New York,11358,http://www.secur-it.com,11-01-1997,,,"We provide physical security services- armed and unarmed. We provide background checks, and investigations.",,,Department of Homeland Security-ICE,15844570,,5/31/2017,Transportation of detainees for DHS/ICE,Audemars Piguet NA,1000000,,5/31/2017,Supply armed guards for boutique and events,Maspeth Federal Savings and Loan,200000,,5/31/2017,Armed Security and Unarmed Security Vehicle,,0,,,
Iberian American Institute,Maria Ruscelli,"MBE,WBE",04/29/2022;04/29/2022,HISPANIC,68-12 Yellowstone Blvd,Apt 4P,Forest Hills,Queens,NY,11375,68-12 Yellowstone Blvd,Apt 4P,Forest Hills,New York,11375,,02-09-2009,,,"Iberian American Institute offers foreign language instruction, educational guidance counseling, educational testing services, students and professional exchange programs, short duration courses and seminars for management and prof. development , educational consulting, sells books and instructional teaching material & promote the arts.",,,Richard Schioppa,1170,100,1/30/2017,"Introduction to the language spanish (speaking, listening, reading & writing).",Arul Veerappan,690,100,1/30/2017,"Introduction to the language spanish (speaking, listening, reading & writing)",Delia Calo,1380,100,02-06-2017,"Introduction to the language spanish (speaking, listening, reading & writing)",,0,,,
PurePoint International,Jessica Robinson,"MBE,WBE",08/30/2022;08/30/2022,BLACK,11025 72nd Dr,3R,Forest Hills,Queens,NY,11375,11025 72nd Dr,3R,Forest Hills,New York,11375,http://www.the-pureppint.com,10-10-2012,,,"PurePoint International is a holistic security company disrupting the security market by providing affordable training, outsourced Chief Information Security Officer (CISO) consulting services, and technology products",,,AIGA,3500,100,10-11-2016,"Conducted an assessment, provided an action plan, met with building engineers, and conducted an Emergency Preparedness Response training.",World Pulse,10000,100,8/30/2016,Updated their Safety and Security Policies and Procedures and created the current Cyber Security  Policies and Procedures,EPGM,2500,100,6/30/2017,"Complete assessment, create an action plan, conduct training for the staff",,0,,5/23/2013,"Moderate rehab of 1601 Macombs Road, 80 Featherbed Lane, 1541-1551 Shakespeare Ave"
Creative CuisinEtc Inc.,Lisa Teiger,WBE,,NON-MINORITY,66-33 Yellowstone Blvd,Apt 6E,Forest Hills,Queens,NY,11375,66-33 Yellowstone Blvd,Apt 6E,Forest Hills,New York,11375,http://www.cuisinetc.net,03-04-2002,,,"Full service catering including food, rentals and catering staffing. Catering and special event planning, mobile kitchen, offering a variety of ethnic and american cuisines.",,,NYC Dept of Probation,4950,,6/21/2012,Professional Development Day Breakfast and Lunch Catering,DCAS - NYC Dept of City Wide Services,2000,,12/27/2011,Catering for Awards ceremony receptions,Intercontinental - Holiday Inn,10122.98,,4/13/2011,Produced ongoing setup and plans receipt sourcing served media samples of holiday inns social hub menu.,,0,,2/19/2016,Installation of three new MRL elevators.
Ramsen Trade Corp.,Rodney Ramlochan,MBE,7/30/2022,ASIAN,111-20 76th Road,1B,Forest Hills,Queens,NY,11375,111-20 76th Road,1B,Forest Hills,New York,11375,http://www.dev-byrne.com,08-06-2003,,,"Company is a telecom expense management (TEM) solution and consulting firm that serves leading businesses, government agencies, and not-for-profits. Dev-Byrne offers a range of services including TEM solutions, auditing, contract negotiation, project management, sourcing, policy settling, business continuity planning and technology transformation. Our goal is to equip our clients with cost-effective and relevant telecom solutions that will allow their businesses to grow and lead.",,,Timex Group USA,5000,,11/22/2016,Assist Timex Group USA with resolving a telecom carrier over-billing error in excess of 60K,Silverstein Properties,4375,100,08-05-2016,"Assist Silverstein prop. with resolving a carrier contract and billing error i the excess of 150,000",LeFrak Realty,25000,100,12/20/2016,Auditing $1.2 million of the clients' wireline and wireless billing changes and carrier network.,,0,,,
Renfroe Driscoll & Foster LLP,Patrick Foster,MBE,10/30/2020,BLACK,118-35 Queens Boulevard,Suite 940,Forest Hills,Queens,NY,11375,118-35 Queens Boulevard,Suite 940,Forest Hills,New York,11375,http://www.renfroedriscoll.com,07-01-2013,,,"A Law Firm that practice includes personal injury, civil rights, criminal and matrimonial cases.  We are a diverse team of attorneys fighting for the rights over the law.",,,"Cottage Contractor, Corp",5000,100,09-01-2015,Legal Contract Issue,Travis Rosario,20000,100,08-01-2015,Civil Litigation,Armani Goens,15000,100,05-01-2015,Civil Litigation,Ashor Thakur,130000,,,
Bonvil Solutions Corp.,Ingrid Boney,"MBE,WBE",03/31/2018;03/31/2018,BLACK,104-60 Queens Boulevard,Suite 19E,Forest Hills,Queens,NY,11375,104-60 Queens Boulevard,Suite 19E,Forest Hills,New York,11375,,07-10-2007,,,"We are actively seeking projects in the commercial area. A provider of home renovations, remodeling. Services include: basement, bathroom, kitchen remodeling, plastering, painting, framing, floor installation, locks, doors. Will bid on government contracts to expand/increase our projects in the commercial area we've done in the past.",,,Joann G. Thomas Scarfo,11263.12,,02-01-2012,"Repairs, painting, demolition, framing, sheetrocking, plywood decorated casing, carpet removal.",Chandra Maharag,7100,,07-01-2010,"Installed flooring & saddles, remodeling. Wall repairs, painting, repair of staircase, staining, etc.",Lenny Carinci,6403.21,,03-01-2009,"Installion of drywall, puming. Sheetrocking, bedroom, livingroom, walls, ceiling, kitchen.",,0,,,
"Trinity Tax & Financial Solutions, Inc.",Ben Lalchan,MBE,8/30/2019,ASIAN,116-16 Queens Blvd.,# 245,Forest Hills,Queens,NY,11375,116-16 Queens Blvd.,# 245,Forest Hills,New York,11375,http://www.bestcpasolutions.com,7/27/2005,,,"Trinity Tax & Financial Solutions Inc., is a full service certified public accounting firm that provides accounting, tax and financial planning. The firm has been accepted as a Certifying Agent by the Internal Revenue Service and is rated as A+ by the Better Business Bureau (BBB). The firm also represents clients on issues relating to IRS, Department of Labor and Social Security Admininstration.",,,Mercy Drive Inc.,15000,100,01-01-2014,Audit of Non-profit,CMS Construction Inc.,7500,100,01-01-2014,Audit of Construction Company,Nenkataramani,15000,100,01-01-2014,Foreign Assets Reporting,,0,,09-02-2015,Pest Control
"Green Silk Associates, LLC",Deborah Seidman,WBE,,NON-MINORITY,10440 Queens Blvd.,Apt. 5J,Forest Hills,Queens,NY,11375,"10440 Queens Blvd., 5J",,Forest Hills,New York,11375,http://www.greensilkassociates.com,3/31/2009,,,"Management  consulting in the areas of Organizations Effectiveness and Development. Services include meeting design and facilitation, leadership and management training and coaching, talent management process and tools, performance management processes and tools, organizational change consulting.",,,Save the Children,20000,,12-01-2012,"Worked with new head of Talent Acquisition and Mobility to raise his knowledge of talent management concepts and approaches, build his team, identify priorities, develop an implementation plan and stakeholder analysis, conduct research deve",De Shaw,13000,,7/20/2012,Development and delivery of workshops for HR professionals- one on Influencing,Korn Consulting Group,10000,,01-01-2013,As a subcontractor on a 3 member consulting team developed a simple succession planning talent management process for a specialty grocery chain. Trained executive officers on assessing senior managers and conducting talent review successio,DTCC,0,,05-11-2015,Furnish Material and fabricate misc. metals
SMARTEC Architecture & Engineering P.C.,Sayuja Malhotra,"MBE,WBE",04/29/2020;04/29/2020,ASIAN,314 Burns Street,,Forest Hills,Queens,NY,11375,314 Burns Street,,Forest Hills,New York,11375,,8/27/2014,,,"Professional engineering, architecture and construction management services, resident engineering and inspection services, building construction management, engineering and architecture design services.",No,Building Construction (non-Residential),Mahameshwara Buddhist Temple,25000,12,04-01-2014,"Architectural Design, Code Compliance, Permitting, Structural / Civil Design, Constr. Management, Certificate of Occupancy, Town Approval",P. Scaranni Builders,12000,12,03-01-2014,"Architectural Design, Code Compliance, Permitting, Structural / Civil Design, Constr. Management, Certificate of Occupancy, Town Approval","155 River Str LLC, Red Bank NJ",200000,80,08-01-2013,"Architectural Design, Code Compliance, Permitting, Structural / Civil Design, Constr. Management, Certificate of occupancy, Town Approval",Supreme Kitchens,200000,,,
Lightning Total Computer & Automation Inc.,YongJen Lee,"MBE,WBE",09/29/2022;09/29/2022,ASIAN,93-09 71st Avenue,,Forest Hills,Queens,NY,11375,93-09 71st Avenue,,Forest Hills,New York,11375,,10/31/2005,,,We are selling the parts for fire alarm also install the fire alarm at building. We are the distributor by Honeywell for fire alarm.,No,Building Construction (non-Residential); Residential Building Construction; Sewer and/or Water Mains,Robert Lee,29000,100,09-09-2017,Installation of fire alarm and program set up central station,Gurwinder Singh,51000,100,8/20/2017,Design and Install fire alarm and set up central station,Aslam Viulja,280000,100,10/25/2016,New Installation of firealwm and program set up central station,,0,,12-07-2016,Provide paver tiles
"Trivium of New York, LLC",Jazmine Love,"MBE,WBE",03/30/2022;03/30/2022,BLACK,118-35 Queens Blvd.,Suite 400,Forest Hills,Queens,NY,11375,118-35 Queens Blvd.,Suite 400,Forest Hills,New York,11375,http://www.thetriviumway.com,3/28/2014,,,"Trivium of New York is a full service Healthcare Staffing Agency. Our leadership team is comprised of top professionals dedicated to recruiting/staffing top nurses, physical therapist, speech therapist, occupational therapist, health aides and physicians for permanent placement, temporary staffing and homecare Services. Trivium also offers CPR training and corporate wellness on site events.",,,Phillips,32760,100,09-01-2015,Clinical Nurse Recruiting for Phillips Healthcare,Emory Health Care,14560,100,03-10-2017,Clinical Nurse Recruiting for Emory Healthcare,Patient Home Monitoring,2500,100,08-01-2016,Provide agency nurses for in-home meter training,,0,,,
"Allied Personnel Services, Inc.",Amparo Connors,"MBE,WBE",08/30/2022;08/30/2022,HISPANIC,118-21 Queens Blvd.,Suite 310,Forest Hills,Queens,NY,11375,118-21 Queens Blvd.,Suite 310,Forest Hills,New York,11375,http://alliedpersonnel.com,12-07-1998,,,"Staff primarily Administrative, Office Support, Bookkeeping personnel. Place diverse talent as Temporary, Temp to Hire, or Direct Hire (Permanent). Fill jobs in Queens, Manhattan, Brooklyn, Bronx, Staten Island, Nassau, & Westchester. Have had a great success with temporary staffing for NYC agencies and as subcontractor for NY State bids.",,,U.S. Merchant Marine Academy-DOT Federal Entity,128849,100,7/31/2017,Clerical and Administrative temp staff for Marine Academy's Federallly regulated procurement office.,LeFrak Organization,324499,100,06-01-2017,"Reception, administrative assistant, clerical, datay entry, procurement. HR and leasing dept. staff.",Omni NY LLC & Reliant Realty Corp.,250797,100,7/31/2017,"Reception, admin., assistant, clerical, data entry, HR, leasing, bookkeeping and affrordable housing.","NYC - Dept., of Small Business",51858,,,
V - Solve Inc.,Sivabalasubramania Vallinayagam,MBE,8/30/2022,ASIAN,108-18 Queens Blvd,#501,Forest Hills,Queens,NY,11375,108-18 Queens Blvd,#501,Forest Hills,New York,11375,http://www.v-solve.com,09-10-2008,,,Information Technology consulting & services.,,,Verifone,205743,100,07-12-2015,Business operation manager,"TekSystems, Inc.",303687,100,2/23/2015,On-going Maintenance and support for web application.,Mondo,145920,100,8/29/2017,Project manager,"ALKU Technologies, LLC",488520,,,
"All Hands In Motion Professional Sign Language Interpreters, LLC",Janice Rimler,WBE,,NON-MINORITY,104-60 Queens Blvd.,STE 7A,Forest Hills,Queens,NY,11375,104-60 Queens Blvd.,STE 7A,Forest Hills,New York,11375,http://wwww.allhandsinmotion.com,1/13/2006,,,"Provision of sign language interpreting and transcription services for communication between Deaf, Hard of Hearing and Hearing individuals.",,,New School/Parsons,214895,100,01-01-2014,Transcription,Queens College,45156,100,01-01-2014,Interpreting,Queens College,18224,100,06-02-2014,Interpreting,,0,,,
Ti-Tone Communications Inc.,Maggie Wong,MBE,9/29/2022,ASIAN,108-01 Queens Boulevard Suite 201,,Forest Hills,Queens,NY,11375,108-01 Queens Boulevard,Suite 201,Forest Hills,New York,11375,http://www.titone.com,12-01-1980,,,"Install, sell and maintain the following areas: voice, data and video cable structuring, telephone systems, security systems, sound system, high speed internet, access control systems.",No,Building Construction (non-Residential),Artimus Construction,504000,,05-01-2015,"Low voltage cabling, security, sound system.",Allied,433310,,03-01-2015,"Low voltage cabling, telephone system, high speed internet, security and sound system.",Allied,547545,,09-01-2015,"Low voltage cabling, telephone system, high speed internet, security and sound system.",,0,,,
Trivision Group Inc.,Andy Shenoy,MBE,10/30/2019,ASIAN,118-21 Queens Boulevard,Suite 401,Forest Hills,Queens,NY,11375,118-21 Queens Boulevard,Suite 401,Forest Hills,New York,11375,http://www.trivisioninc.com,2/15/2003,,,"Consulting and professional services for public private sectors, cross- platform software development; business process re-engineering.   Project management services, web development and e-commerce service; quality assistance; education training/project work.",,,Computer Services Corporation,5400000,2,06-04-2012,"Test, debug, implement and documents proper aims. Analyze and design programs. Test application software in an open system environment.",NYSIF,800000,1,01-01-2013,"IME and investigator applications, new case systems.",DOL,400000,1,3/31/2013,Design composite applications through architecture diagrams and specifications.,,0,,11-03-2014,IT Technology Program Management
Cynthia V. Stephens,Cynthia Stephens,"MBE,WBE",05/30/2020;05/30/2020,BLACK,77-34 113th Street,Suite #2D,Forrest Hills,Queens,NY,11375,77-34 113th Street,Suite #2D,Forrest Hills,New York,11375,,12-01-1989,,,Direct speech/language therapy services to children and adults.  Conduct research and compile presentations for other professionals and self-presentations in area of early childhood education.   Policies & regulations development disabilities and the arts.,,,AHRC/Bronx Early Childhood Direction Center,6000,100,09-01-2014,Researched policies/procedures and updated all powerpoint presentations,The Val Myr Group,1200,100,12-01-2008,Designing workshop presentations and conducting QA reviews as needed,Therapy Source Apollo,20000,100,01-01-2010,Rendering direct speech and language therapy services to elementary children,,0,,,
"Craft-Weld Ent., Inc.",Ronald Paskiewicz,"MBE,WBE",04/30/2019;04/30/2019,HISPANIC,102-09 158th Avenue,,Howard Beach,Queens,NY,11414,102-09 158th Avenue,,Howard Beach,New York,11414,,6/21/1996,,,"Craft-Weld Ent., Inc is a one stop construction manufacturing support service company, with over 45 years of industry experience. Services we provide are: Welding inspection (AWS, ASME, API), welder training, welder testing, & welding procedures.",,,MT Group,2800,100,03-01-2016,CWI services support,M. Cohen & Son,8400,100,11-01-2015,CWI support services. Welder perform qualifications. Welding procedure,Seiko Iron W.,8000,100,02-01-2015,CWI support services. Welder perform qualifications. Welding procedure,,0,,12-01-2016,Architectural and engineering services for a new 5-story group home for women and children.
"QUALIFIED Employee Benefits, Inc.",Abe Garcia,MBE,11/29/2020,HISPANIC,8439 153rd Avenue,Unit 5F,Howard Beach,Queens,NY,11414,8439 153rd Avenue,Unit 5F,Howard Beach,New York,11414,,05-09-2013,,,"(B-to-B) Sell and Service Group Life, Health & Welfare Plans to NYC Businesses (B-to-C) Sell and Service Individual Life, Disability & Health Plans to Individuals.  Provide advisory services to retirees concerning Investment, Medicare & Social Security Planning Provide General Insurance and workers compensation.",,,"Industry Safety Consultants, LLC",31894.8,100,09-01-2015,Install and Service Medical and Dental Coverage provided by Aetna Insurance.,"Safety Dynamics, LLC",36260.49,100,06-01-2015,Install and Service Voluntary Benefits to include Life and Disability Insurance benefits for employee and dependents,"Baltic Street AEH, Inc",1550,100,01-01-2015,Installation of an IRS Section 125 Flexible Spending Account and an IRS Section 132 Qualified Transit and Parking Account for the benefit of workplace employees.,,0,,,
DM Contracting & Restoration Inc.,Marie Carr,"MBE,WBE",08/30/2021;08/30/2021,HISPANIC,163-15 86 Street,,Howard Beach,Queens,NY,11414,163-15 86 Street,,Howard Beach,New York,11414,http://DMcontractingandrestoration.com,01-02-2014,,,We are a general contractor doing masonry work and interior renovations.,No,"Building Construction (non-Residential); Residential Building Construction; Site work, i.e. Parks",Catholic Charities Brooklyn/Queens,249000,85,05-01-2015,Build out of new kitchen in senior center,Monadnock Construction Inc.,52000,100,08-01-2014,Site Work - Replaced side-walks curb,L+M Builders Group,283000,100,08-01-2015,"Site Work - Replaced steps, ramps, sidewalks, curbs",L+M Builders Group,430000,,7/17/2016,Review of cost estimate produced by others and organised information into stakeholder streams.
Green Jobs Training Center,Dolores Bevilacqua,WBE,,NON-MINORITY,102-10 159th Road,2nd Fl,Howard Beach,Queens,NY,11414,155-16 99th Street,2nd Fl,Howard Beach,New York,11414,http://www.greenjobtrainingcenter.com,3/20/2009,,,Energy efficiency training towards retro fitting residential homes. Contractor and home owner education. Building performance Institute training and certification. Esco and Nate testing services.,,,NYSERDA,600000,87,12/31/2016,Training and certification in the energy efficenciency of contractors in BIP,Brighthome Energy Solutions,1900,100,12/20/2016,Energy efficiency training and testing for national certification exam.,ODA Community Development,500,100,12/20/2016,Testing homes for energy audits with Blower Doors and Combustion Analyzer.,,0,,07-01-2015,Soil removal-transportation and disposal.
"Steele Commercial Kitchen Services, Inc.",Deborah Fuller,MBE,3/31/2018,BLACK,76-15 35th Avenue,Suite 6K,Jackson Heights,Queens,NY,11372,76-15 35 Avenue,Suite 6K,Jackson Heights,New York,11372,http://www.topcommericialkitchens.com,3/24/2011,,,"Full service repair, maintenance and installation of all food preparation equipment.",,,Bedford-Stuyvesant Early Childhood Development Center,1042.5,,10-02-2012,"Trouble shot then reconditioned convention oven (south bend) gas valve, coil, etc. Tested oven for proper operation. Oven operating properly.",Brooklyn Restaurant & Bar,880.88,,10/18/2012,"Repaired caded oven motor, fan, etc. Tested oven, oven working properly.",FEDCAP,551,,02-01-2013,Trouble shot then replaced ignition module on Blodgett convection oven. Also replaced cooling fan. Tested oven. Oven functioning properly.,,0,,,
Sadhra Construction Corp.,Balbir Singh,MBE,4/29/2022,ASIAN,25-37 83rd Street,,Jackson Heights,Queens,NY,11370,25-37 83rd Street,,Jackson Heights,New York,11370,,4/27/1998,,,"We are a general construction company that offers construction service such as painting, tiling, window and door installation and masonary work. We are licensed by NYC, Department of Consumer Affairs and certified by US Environmental Protection Agency (EPA). We perform work in NYC with City of New York, Department of Housing Preservation and Development.",No,Residential Building Construction,NYC-HPD,1498,100,03-01-2016,replaced broken marble treads at public hall stairs,NYC-HPD,1289,100,05-01-2016,Repaired broken sheetrock at 1st story public hall. Also replaced broken wood treads and risers with new treads and risers total (6),NYC-HPD,1489,100,06-01-2016,"demoed existing bathroom ceramic floor tiles. Provided new wonder Board and installed new ceramic floor tiles, installed new toilet",NYC-HPD,4995,,,
Queens Latino,Javier Castano,MBE,12/30/2022,HISPANIC,76-15 35th Avenue,# 1P,Jackson Heights,Queens,NY,11372,76-15 35th Avenue,# 1P,Jackson Heights,New York,11372,http://www.queenslatino.com,05-03-2010,,,Digital and print editions of news and information,,,CUNY Central Office,7930,75,12/31/2017,"advertising for queensborough Community College, LaGuardia community college in our print editions",McCann Erickson USA INC (Media Planning and Buying Svc),16800,75,5/20/2020,Advertise half page in our print editions for 12 months for 5 years,Wukkuan Scwitzer and Associates PC,16000,75,12/31/2017,advertise half page,,0,,,
"Larisa Ortiz Associates, LLC",Scott Landfried,"MBE,WBE",08/30/2020;08/30/2020,HISPANIC,"78-27 37th Avenue, Suite 1",,Jackson Heights,Queens,NY,11372,78-27 37th Avenue,Suite 1,Jackson Heights,New York,11372,http://www.larisaortizassociates.com,11-07-2008,,,"Boutique consulting firm specializing in market analysis, strategic positioning, & retail development strategies for downtown & neighborhood commercial districts.",,,Sutphin Blvd District Management Association,10000,100,05-01-2015,Market research study with retail prospect list generated.,Bridgeport Neighborhood Trust,23353,100,05-01-2015,"Market study with background review, demand and competitive supply analysis and retailer needs analysis.",Good Old Lower East Side Inc. (GOLES),11895,100,03-01-2015,In-depth examination of trade area with stakeholder interviews. Developed strategies for retail attraction.,City of Trenton,49962,,,
B & H Contracting Corp.,Belal Hossain,MBE,6/29/2019,ASIAN,7129 Roosevelt Avenue,2nd Floor,Jackson Heights,Queens,NY,11372,7129 Roosevelt Avenue,2nd Floor,Jackson Heights,New York,11372,http://www.bhcontracting.net,4/27/2004,,,"Specialized structural engineering business, serving both the government and commercial communities. The company offers new construction of housing facilities, renovation of existing buildings and maintenance repairs. The principal has an excellent working and professional relationship, with clients, vendors, and architectural firms. The fast growing company recommends creative and efficient solutions, as it develops architectural reports and accomplishes projects within budget constraints.",,,BRP Construction Corp. LLC,22000,,01-01-2011,"Removal of debris, repair loose bricks, asphalt siding and application of water proofing stucco system.",Calabrese Corp.,733090,,01-01-2012,Green roof modules and stucco application on the new structures.,BRP Construction Corp. LLC,450000,,01-01-2011,"All masonry works. (51 and 53 Albany Ave., and 467, 469, 477, 529 Harkimar St.)",,0,,01-01-2016,Construction Site & Fire Safety coverage to ensure project is compliant with the NYC Dept. of Buildings rules and regulations.
"S.M. Construction Co., Inc.",Mushtaq Ahmed,MBE,5/31/2018,ASIAN,32-22 79th Street,,Jackson Heights,Queens,NY,11370,32-22 79th Street,,East Elmhurst,New York,11370,,01-01-1998,,,"Our business provides quality services of building maintenance such as, masonry, waterproofing, concrete, roofing, cleaning and brick work.",,,David Axelrod,40000,,06-01-2011,"Pointing, masonry, water proofing, roofing",Criterion Rofing Anthony,25000,,07-01-2012,"Cement work, masonry, brick work",Yadidi Group,15000,,11-01-2012,"Water proofing, roofing, painting",,0,,,
Shaheen Construction Corp.,Shabbir Ahmed,MBE,10/30/2019,ASIAN,25-20 84th Street,,Jackson Heights,Queens,NY,11370,25-20 84th Street,,Jackson Heights,New York,11370,http://www.shaheenconstruction.com,6/26/1984,,,"Masonry, Carpentry, Drywall, Painting, Vinyl Siding, Roofing.",,,NYC HPD,69950,100,10/25/2014,Install tight board fence approx. 1600 L.F. with 4x4 and plywood including double gate.,NYC HPD,24450,100,12/18/2015,Removed Kitchen cabinets and install new ADA compliance base cabinets with sink and counter top. Also install wall cabinet lifts.,KES Construction,52803,100,10/27/2015,Installed 6x6 wood shoring from first to fourth floor to support beams and stabilize building.,KES Construction,81850,,,
C L Electric Corp.,Carlos Lopez,MBE,9/30/2019,HISPANIC,78-17 Roosevelt Avenue,,Jackson Heights,Queens,NY,11372,50-56 44th Street,,Woodside,New York,11372,http://www.clelectricny.com,9/22/2011,,,"C L Electric Corp offers full service electrical work. We handle: general wiring, line voltage, low voltage wiring, meter installations, panel installations, main service disconnect switches, service upgrades, and associated equipment. We have experience wiring all types of home works systems, such as Lutron System, Crestron System, and LED.",,,Redi-Construction,88483,100,09-01-2016,Whole Brownstone electrical renovation,Redi-Construction,60052,100,12-01-2016,Entire electrical rehabilitation,Aaron Bolman and Co.,0,100,07-01-2016,Lighting upgrade,,0,,,
Expertise Painting Corp.,Pavel Cruz,MBE,3/30/2020,HISPANIC,14510 Jamaica Avenue,,Jamaica,Queens,NY,11435,14510 Jamaica Avenue,,Jamaica,New York,11435,,11-05-2012,,,"Construction services specializing in interior renovations, kitchen/bathroom, flooring, painting, carpentry,drywall, framing, interior finishes services for commercial & residential buildings.",No,Residential Building Construction,Martha Montgomery,1088.7,100,01-01-2013,Repair a broken heating pipes including supplies and materials,Impression By Theresa Nail,10884.82,100,10-01-2013,Interior renovation of nail salon,Domingo Jose Salcedo,9798,100,01-01-2014,Interior renovations of the apartment,"Tillmont, Inc.",20000,,,
Pyramid Safety & Health Solutions,Reagan Branch,"MBE,WBE",01/30/2021;01/30/2021,BLACK,146-47 106 Avenue,,Jamaica,Queens,NY,11435,146-47 106th Avenue,,Jamaica,New York,11435,http://www.pyramidsoln.com,05-11-2012,,,"Provide occupational safety and health consulting services including training, site audits, construction safety management, fire safety management, exposure monitoring for contaminants, recordkeeping and program development, medical surveillance program development, lead paint monitoring and OSHA 10/30 training.",,,Coastal Environmental,1468.25,90,3/16/2015,Perform testing of painted surfaces inside management company owned apartment. Used XRF machine to determine if lead is present.,Citizen M Hotel,2500,90,09-01-2015,Provide new staff with occupational safety training. Refresher training.,United Restoration & Development,1500,100,07-01-2014,Monitor facade restoration.,,0,,,
Focus Security Services Inc.,Ehigie Aghahuwa,MBE,1/31/2019,BLACK,157-11 Rockaway Blvd.,Suite 10,Jamaica,Queens,NY,11434,157-11 Rockaway Blvd.,Suite 10,Jamaica,New York,11434,,4/29/2013,10000,,"My company provides security watch, guard and patrol services to businesses, including retail stores, construction sites, corporate offices and buildings, apartment complex, chain stores, government offices, etc.",,,Security Resources Inc.,1500,100,6/17/2014,Shopping mall coverage.,United Security Protective Services,700,100,09-01-2014,Shopping mall coverage.,NESCTC Security Agency,3060,100,11-07-2014,Shopping mall coverage.,,0,,,
"Elite Business Cleaning Services, LLC",President Cudjoe,"MBE,WBE",06/30/2018;06/30/2018,BLACK,180-12 145th Drive,,Jamaica,Queens,NY,11434,180-12 145th Drive,,Jamaica,New York,11434,http://www.elitecleanservices.com,3/27/2006,,,"We are pleased professional commercial/residential, office cleaning, move in/move out, post construction clean up, party clean up and out of control cluster or hoarding clean up . We provide quality cleaning and customer service.",,,Urban View,2500,,01-01-2012,"clean interior windows, mop & vacuum floor, cleaned cabinets, wash walls, cleaned bathrooms",,0,,,,,0,,,,,0,,,
Tulson Enterprise Corporation,Karlene Edwards,"MBE,WBE",01/30/2020;01/30/2020,BLACK,117-15 168 ST,,JAMAICA,Queens,NY,11434,218-16 134 Road,,Springfield Gardens,New York,11413,http://www.tulsonent.com,04-08-2013,,,"Tulson Enterprise Corporation provides janitorial services to residential and commercial customers. These services include after party clean ups, medical spills and household errands. We also specialize in working with hoarders.",,,Aimien Osahon,2500,100,6/25/2014,Apartment clean up and sanitation.,Dwainette Gordon,450,100,6/25/2014,Back yard clean up.,Benjamin Pest,500,100,9/15/2014,Room clean up and sanitation.,,0,,,
"KJK Tutoring Center, LLC",Nadine Daniel-Hurry,"MBE,WBE",01/30/2022;01/30/2022,BLACK,179-14 146th Road,,Jamaica,Queens,NY,11434,179-14 146th Road,,Jamaica,New York,11434,,9/13/2007,,,"KJK Tutoring Center, LLC is an educational program to enrich the lives of students and families. We provide after school programs and tutoring, extended care, enrichment and parent/student workshops to advance learners.",,,PS 360 Q,3000,100,10-01-2015,Full day professional development for new hired DOE teachers. 3 sessions per teacher.,MS 356 (COVO),5000,100,12-01-2015,Tuesday sessions reading comprehension overview of exam writing competent tunnel vision focus ELA success.,Hasley Junior Highschool,1500,100,1/31/2017,Rosetta Stone parent workshop hands on workshop training.,The Academy of the City Charter School,12400,,,
Out of the Box Training Solutions,Sabrina St. John,"MBE,WBE",08/30/2022;08/30/2022,BLACK,109-57 Liverpool street,,Jamaica,Queens,NY,11435,109-57 Liverpool street,,Jamaica,New York,11435,,05-01-2012,,,"Training & Development, OSHA training, supplier of janitorial & safety supplies.",,,New York City Deparment of Education,3499,,1/29/2014,Facilitate empowerment workshop for female middle school students.,Abbot House,500,,2/23/2016,Facilitated mandatory annual HIV overview & confidentiality training for 40 social workers.,Wellness in the Workplace,200,,8/30/2014,"Facilitated training for staff on topics of communication, stress management, positive workplace.",,0,,,
